"Forwards (10 - $41,250,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Pettersson, Elias",8 UFA,,"C, LW",NHL,Draft,25.0,13.2,"$11,600,000","$11,600,000","$11,600,000","$11,600,000","$11,600,000","$11,600,000"
"Miller, J.T.",6 UFA,NMC,"C, LW, RW",NHL,Trade,31.0,9.1,"$8,000,000","$8,000,000","$8,000,000","$8,000,000","$8,000,000","$8,000,000"
"Boeser, Brock",1 UFA,,RW,NHL,Draft,27.0,7.6,"$6,650,000",UFA,,,,
"Garland, Conor",2 UFA,,"RW, LW",NHL,Trade,28.0,5.6,"$4,950,000","$4,950,000",UFA,,,
"Mikheyev, Ilya",2 UFA,M-NTC,"LW, RW",NHL,Signed,29.0,5.4,"$4,750,000","$4,750,000",UFA,,,
"Suter, Pius",1 UFA,,"C, LW",NHL,Signed,28.0,1.8,"$1,600,000",UFA,,,,
"Höglander, Nils",1 RFA,,"LW, RW",NHL,Draft,23.0,1.3,"$1,100,000",RFA,,,,
"Podkolzin, Vasily",2 RFA,,"RW, LW",NHL,Draft,23.0,1.1,"$1,000,000","$1,000,000",RFA,,,
"Åman, Nils",2 RFA,,C,NHL,Signed,24.0,0.9,"$825,000","$825,000",RFA,,,
"Di Giuseppe, Phillip",1 UFA,,LW,NHL,Signed,30.0,0.9,"$775,000",UFA,,,,
"Blueger, Teddy",0 UFA,,"C, LW",NHL,Signed,29.0,,UFA,,,,,
"Joshua, Dakota",0 UFA,,LW,NHL,Signed,28.0,,UFA,,,,,
"Lafferty, Sam",0 UFA,,"RW, C, LW",NHL,Trade,29.0,,UFA,,,,,
"Lindholm, Elias",0 UFA,,"C, RW",NHL,Trade,29.0,,UFA,,,,,
TOTAL,,,,,,27.4,46.9,"$41,250,000","$31,125,000","$19,600,000","$19,600,000","$19,600,000","$19,600,000"
