Defense (9),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Felton, Christian",1 RFA,ELC,RD,Minor,Signed,24,-,"$870,000 ",RFA,,,,
"Mynio, Sawyer",3 RFA,ELC,LD,Minor,Draft,19,-,"$838,333 ","$838,333 ","$838,333 ",RFA,,
"Pettersson, Elias",3 RFA,ELC,LD,Minor,Draft,20,-,"$838,333 ","$838,333 ","$838,333 ",RFA,,
"Kudryavtsev, Kirill",3 RFA,ELC,LD,Junior,Draft,20,-,"$825,000 ","$825,000 ","$825,000 ",RFA,,
"Hirose, Akito",1 RFA,,LD,Minor,Signed,25,-,"$787,500 ",RFA,,,,
"Brisebois, Guillaume",1 UFA,,LD,Minor,Draft,26,-,"$775,000 ",UFA,,,,
"Wolanin, Christian",1 UFA,,LD,Minor,Signed,29,-,"$775,000 ",UFA,,,,
"McWard, Cole",1 RFA,,RD,Minor,Signed,23,-,"$775,000 ",RFA,,,,
"Woo, Jett",1 RFA,,RD,Minor,Draft,23,-,"$775,000 ",RFA,,,,
TOTAL,,,,,,23.2,-,"$7,259,166 ","$2,501,666 ","$2,501,666 ",,,
