"Forwards (11 - $45,916,667)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Eichel, Jack ""A""",2 UFA,NMC,C,NHL,Trade,27.0,11.4,"$10,000,000","$10,000,000",UFA,,,
"Stone, Mark ""C""",3 UFA,NMC,RW,NHL,Trade,32.0,10.8,"$9,500,000","$9,500,000","$9,500,000",UFA,,
"Hertl, Tomas ""A""",6 UFA,RSNMC,C,NHL,Trade,30.0,7.7,"$6,750,000","$6,750,000","$6,750,000","$6,750,000","$6,750,000","$6,750,000"
"Karlsson, William ""A""",3 UFA,M-NTC,C,NHL,Expansion,31.0,6.7,"$5,900,000","$5,900,000","$5,900,000",UFA,,
"Barbashev, Ivan",4 UFA,M-NTC,"LW, RW",NHL,Trade,28.0,5.7,"$5,000,000","$5,000,000","$5,000,000","$5,000,000",UFA,
"Roy, Nicolas",3 UFA,,"C, RW",NHL,Trade,27.0,3.4,"$3,000,000","$3,000,000","$3,000,000",UFA,,
"Howden, Brett",1 UFA,,"C, LW",NHL,Signed,26.0,2.2,"$1,900,000",UFA,,,,
"Kolesar, Keegan",1 UFA,,RW,NHL,Trade,27.0,1.6,"$1,400,000",UFA,,,,
"Brisson, Brendan",1 RFA,ELC,"C, LW, RW",NHL,Draft,22.0,1.1,"$925,000",RFA,,,,
"Cotter, Paul",2 RFA,,"LW, RW",NHL,Draft,24.0,0.9,"$775,000","$775,000",RFA,,,
"Røndbjerg, Jonas",1 RFA,,"LW, RW",NHL,Draft,25.0,0.9,"$766,667",RFA,,,,
"Dorofeyev, Pavel",0 RFA,,"LW, RW",NHL,Draft,23.0,,RFA,,,,,
"Amadio, Michael",0 UFA,,"RW, LW",NHL,Waivers claim,28.0,,UFA,,,,,
"Carrier, William",0 UFA,,LW,NHL,Expansion,29.0,,UFA,,,,,
"Mantha, Anthony",0 UFA,,"LW, RW",NHL,Trade,29.0,,UFA,,,,,
"Marchessault, Jonathan",0 UFA,,"RW, LW",NHL,Expansion,33.0,,UFA,,,,,
"Stephenson, Chandler",0 UFA,,"C, LW",NHL,Trade,30.0,,UFA,,,,,
TOTAL,,,,,,27.7,52.2,"$45,916,667","$40,925,000","$30,150,000","$11,750,000","$6,750,000","$6,750,000"
