Forwards (12),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Demek, Jakub",2 RFA,ELC,"RW, C",Minor,Draft,21,-,"$851,683 ","$851,683 ",RFA,,,
"Gustafson, Jordan",3 RFA,ELC,C,Junior,Draft,20,-,"$830,000 ","$830,000 ","$830,000 ",RFA,,
"Brabenec, Jakub",2 RFA,ELC,C,Minor,Draft,20,-,"$828,333 ","$828,333 ",RFA,,,
"Cataford, Mathieu",3 RFA,ELC,"C, RW",Minor,Draft,19,-,"$828,333 ","$828,333 ","$828,333 ",RFA,,
"Hemmerling, Ben",3 RFA,ELC,RW,Junior,Draft,20,-,"$821,111 ","$821,111 ","$821,111 ",RFA,,
"Sapovaliv, Matyas",3 RFA,ELC,C,Junior,Draft,20,-,"$803,333 ","$803,333 ","$803,333 ",RFA,,
"Denisenko, Grigori",1 RFA,,"LW, RW",Minor,Waivers claim,24,-,"$775,000 ",RFA,,,,
"Geertsen, Mason",1 UFA,,"LW, LD",Minor,Signed,29,-,"$775,000 ",UFA,,,,
"Morelli, Mason",1 UFA,,"C, LW",Minor,Signed,28,-,"$775,000 ",UFA,,,,
"Quinney, Gage",1 UFA,,"LW, C",Minor,Signed,28,-,"$775,000 ",UFA,,,,
"Aston-Reese, Zach",1 UFA,,"LW, RW",Minor,Signed,29,-,"$775,000 ",UFA,,,,
"Laczynski, Tanner",2 UFA,,"RW, C",Minor,Signed,27,-,"$775,000 ","$775,000 ",UFA,,,
"Morozov, Ivan",0 RFA,,C,Loan,Draft,24,-,RFA,,,,,
TOTAL,,,,,,23.8,-,"$9,612,793 ","$5,737,793 ","$3,282,777 ",,,
