,DATE,TRADE DETAILS,TRADE DETAILS.18,Team_x,x_receieved,Team_y,y_receieved
0,"Jun. 30, 2022","Columbus Blue Jackets Acquire:Mathieu Olivier · $750,000$750,000$750,000Sum: $750,000$750,000$750,000Change: +$750,000Change: +$750,000Change: +$750,000","Nashville Predators Acquire:2022 4th round pick (TOR - #122 - Dennis Hildeby)Sum: $0$0$0Change: -$750,000Change: -$750,000Change: -$750,000",Columbus Blue Jackets ,"Mathieu Olivier · $750,000$750,000$750,000Sum: $750,000$750,000$750,000Change: +$750,000Change: +$750,000Change: +$750,000",Nashville Predators ,"2022 4th round pick (TOR - #122 - Dennis Hildeby)Sum: $0$0$0Change: -$750,000Change: -$750,000Change: -$750,000"
1,"Jun. 29, 2022",Los Angeles Kings Acquire:Kevin Fiala · $0$0$0 (Signing Rights)Sum: $0$0$0Change: $0Change: $0Change: $0,Minnesota Wild Acquire:Brock Faber · $0$0$0 (AHL/JR) (Signing Rights)2022 1st round pick (LAK - #19 - Liam Öhgren)Sum: $0$0$0Change: $0Change: $0Change: $0,Los Angeles Kings ,Kevin Fiala · $0$0$0 (Signing Rights)Sum: $0$0$0Change: $0Change: $0Change: $0,Minnesota Wild ,Brock Faber · $0$0$0 (AHL/JR) (Signing Rights)2022 1st round pick (LAK - #19 - Liam Öhgren)Sum: $0$0$0Change: $0Change: $0Change: $0
2,"Jun. 16, 2022","Montreal Canadiens Acquire:Evgeni Dadonov · $5,000,000$5,000,000$6,500,000Sum: $5,000,000$5,000,000$6,500,000Change: -$2,857,143Change: -$2,857,143Change: +$3,500,000","Vegas Golden Knights Acquire:Shea Weber · $7,857,143$7,857,143$3,000,000Sum: $7,857,143$7,857,143$3,000,000Change: +$2,857,143Change: +$2,857,143Change: -$3,500,000",Montreal Canadiens ,"Evgeni Dadonov · $5,000,000$5,000,000$6,500,000Sum: $5,000,000$5,000,000$6,500,000Change: -$2,857,143Change: -$2,857,143Change: +$3,500,000",Vegas Golden Knights ,"Shea Weber · $7,857,143$7,857,143$3,000,000Sum: $7,857,143$7,857,143$3,000,000Change: +$2,857,143Change: +$2,857,143Change: -$3,500,000"
3,"Jun. 10, 2022","Buffalo Sabres Acquire:Ben Bishop · $4,916,667$4,916,667$3,500,0002022 7th round pick (DAL - #211 - Linus Sjödin)Sum: $4,916,667$4,916,667$3,500,000Change: +$4,916,667Change: +$4,916,667Change: +$3,500,000","Dallas Stars Acquire:Future ConsiderationsSum: $0$0$0Change: -$4,916,667Change: -$4,916,667Change: -$3,500,000",Buffalo Sabres ,"Ben Bishop · $4,916,667$4,916,667$3,500,0002022 7th round pick (DAL - #211 - Linus Sjödin)Sum: $4,916,667$4,916,667$3,500,000Change: +$4,916,667Change: +$4,916,667Change: +$3,500,000",Dallas Stars ,"Future ConsiderationsSum: $0$0$0Change: -$4,916,667Change: -$4,916,667Change: -$3,500,000"
4,"Mar. 28, 2022","Carolina Hurricanes Acquire:Tarmo Reunanen · $0$809,167$70,000 (AHL/JR)Sum: $0$809,167$70,000Change: $0Change: +$59,167Change: -$30,000","New York Rangers Acquire:Maxim Letunov · $0$750,000$100,000 (AHL/JR)Sum: $0$750,000$100,000Change: $0Change: -$59,167Change: +$30,000",Carolina Hurricanes ,"Tarmo Reunanen · $0$809,167$70,000 (AHL/JR)Sum: $0$809,167$70,000Change: $0Change: +$59,167Change: -$30,000",New York Rangers ,"Maxim Letunov · $0$750,000$100,000 (AHL/JR)Sum: $0$750,000$100,000Change: $0Change: -$59,167Change: +$30,000"
5,"Mar. 28, 2022","Boston Bruins Acquire:Future ConsiderationsSum: $0$0$0Change: $0Change: -$800,000Change: -$70,000","St. Louis Blues Acquire:Brady Lyle · $0$800,000$70,000 (AHL/JR)Sum: $0$800,000$70,000Change: $0Change: +$800,000Change: +$70,000",Boston Bruins ,"Future ConsiderationsSum: $0$0$0Change: $0Change: -$800,000Change: -$70,000",St. Louis Blues ,"Brady Lyle · $0$800,000$70,000 (AHL/JR)Sum: $0$800,000$70,000Change: $0Change: +$800,000Change: +$70,000"
6,"Mar. 23, 2022","Philadelphia Flyers Acquire:Brennan Menell · $0$750,000$400,000 (AHL/JR)Sum: $0$750,000$400,000Change: $0Change: +$750,000Change: +$400,000","Toronto Maple Leafs Acquire:Future ConsiderationsSum: $0$0$0Change: $0Change: -$750,000Change: -$400,000",Philadelphia Flyers ,"Brennan Menell · $0$750,000$400,000 (AHL/JR)Sum: $0$750,000$400,000Change: $0Change: +$750,000Change: +$400,000",Toronto Maple Leafs ,"Future ConsiderationsSum: $0$0$0Change: $0Change: -$750,000Change: -$400,000"
7,"Mar. 21, 2022","Carolina Hurricanes Acquire:From FLA:Max Domi ($1,325,000 retained - 50%) · $1,325,000$1,325,000$1,500,000Tyler Inamoto · $0$0$0 (Signing Rights)Sum: $1,325,000$1,325,000$1,500,000Change: +$1,325,000Change: +$1,325,000Change: +$1,500,000","Columbus Blue Jackets Acquire:From CAR:Aidan Hreschuk · $0$0$0 (AHL/JR) (Signing Rights)Sum: $0$0$0Change: -$2,650,000Change: -$2,650,000Change: -$3,000,000",Carolina Hurricanes ,"From FLA:Max Domi ($1,325,000 retained - 50%) · $1,325,000$1,325,000$1,500,000Tyler Inamoto · $0$0$0 (Signing Rights)Sum: $1,325,000$1,325,000$1,500,000Change: +$1,325,000Change: +$1,325,000Change: +$1,500,000",Columbus Blue Jackets ,"From CAR:Aidan Hreschuk · $0$0$0 (AHL/JR) (Signing Rights)Sum: $0$0$0Change: -$2,650,000Change: -$2,650,000Change: -$3,000,000"
8,"Mar. 21, 2022","Minnesota Wild Acquire:Future ConsiderationsSum: $0$0$0Change: -$875,000Change: -$2,000,000Change: +$196,000,000","Seattle Kraken Acquire:Victor Rask ($2,000,000 retained - 50%) · $875,000$2,000,000$0 (AHL/JR)Sum: $875,000$2,000,000$0Change: +$875,000Change: +$2,000,000Change: -$196,000,000",Minnesota Wild ,"Future ConsiderationsSum: $0$0$0Change: -$875,000Change: -$2,000,000Change: +$196,000,000",Seattle Kraken ,"Victor Rask ($2,000,000 retained - 50%) · $875,000$2,000,000$0 (AHL/JR)Sum: $875,000$2,000,000$0Change: +$875,000Change: +$2,000,000Change: -$196,000,000"
9,"Mar. 21, 2022","New York Rangers Acquire:Tyler Motte · $1,225,000$1,225,000$1,450,000Sum: $1,225,000$1,225,000$1,450,000Change: +$1,225,000Change: +$1,225,000Change: +$1,450,000","Vancouver Canucks Acquire:2023 4th round pick (NYR - #119 - Matthew Perkins)Sum: $0$0$0Change: -$1,225,000Change: -$1,225,000Change: -$1,450,000",New York Rangers ,"Tyler Motte · $1,225,000$1,225,000$1,450,000Sum: $1,225,000$1,225,000$1,450,000Change: +$1,225,000Change: +$1,225,000Change: +$1,450,000",Vancouver Canucks ,"2023 4th round pick (NYR - #119 - Matthew Perkins)Sum: $0$0$0Change: -$1,225,000Change: -$1,225,000Change: -$1,450,000"
10,"Mar. 21, 2022","San Jose Sharks Acquire:Antoine Morand · $0$778,333$70,000 (AHL/JR)Sum: $0$778,333$70,000Change: $0Change: -$146,667Change: $0","Tampa Bay Lightning Acquire:Alexei Melnichuk · $0$925,000$70,000 (AHL/JR)Sum: $0$925,000$70,000Change: $0Change: +$146,667Change: $0",San Jose Sharks ,"Antoine Morand · $0$778,333$70,000 (AHL/JR)Sum: $0$778,333$70,000Change: $0Change: -$146,667Change: $0",Tampa Bay Lightning ,"Alexei Melnichuk · $0$925,000$70,000 (AHL/JR)Sum: $0$925,000$70,000Change: $0Change: +$146,667Change: $0"
11,"Mar. 21, 2022","Calgary Flames Acquire:Ryan Carpenter · $1,000,000$1,000,000$1,000,000Sum: $1,000,000$1,000,000$1,000,000Change: +$1,000,000Change: +$1,000,000Change: +$1,000,000","Chicago Blackhawks Acquire:2024 5th round pick (CGY - #138)Sum: $0$0$0Change: -$1,000,000Change: -$1,000,000Change: -$1,000,000",Calgary Flames ,"Ryan Carpenter · $1,000,000$1,000,000$1,000,000Sum: $1,000,000$1,000,000$1,000,000Change: +$1,000,000Change: +$1,000,000Change: +$1,000,000",Chicago Blackhawks ,"2024 5th round pick (CGY - #138)Sum: $0$0$0Change: -$1,000,000Change: -$1,000,000Change: -$1,000,000"
12,"Mar. 21, 2022","Colorado Avalanche Acquire:Andrew Cogliano ($500,000 retained - 50%) · $500,000$500,000$0Sum: $500,000$500,000$0Change: +$500,000Change: +$500,000Change: -$49,000,000","San Jose Sharks Acquire:2024 5th round pick (COL - #153)Sum: $0$0$0Change: -$500,000Change: -$500,000Change: +$49,000,000",Colorado Avalanche ,"Andrew Cogliano ($500,000 retained - 50%) · $500,000$500,000$0Sum: $500,000$500,000$0Change: +$500,000Change: +$500,000Change: -$49,000,000",San Jose Sharks ,"2024 5th round pick (COL - #153)Sum: $0$0$0Change: -$500,000Change: -$500,000Change: +$49,000,000"
13,"Mar. 21, 2022","Dallas Stars Acquire:Vladislav Namestnikov ($1,000,000 retained - 50%) · $1,000,000$1,000,000$0Sum: $1,000,000$1,000,000$0Change: +$1,000,000Change: +$1,000,000Change: -$122,500,000","Detroit Red Wings Acquire:2024 4th round pick (DAL - #126)Sum: $0$0$0Change: -$1,000,000Change: -$1,000,000Change: +$122,500,000",Dallas Stars ,"Vladislav Namestnikov ($1,000,000 retained - 50%) · $1,000,000$1,000,000$0Sum: $1,000,000$1,000,000$0Change: +$1,000,000Change: +$1,000,000Change: -$122,500,000",Detroit Red Wings ,"2024 4th round pick (DAL - #126)Sum: $0$0$0Change: -$1,000,000Change: -$1,000,000Change: +$122,500,000"
14,"Mar. 21, 2022","Edmonton Oilers Acquire:Derick Brassard ($412,500 retained - 50%) · $412,500$412,500$0Sum: $412,500$412,500$0Change: +$412,500Change: +$412,500Change: $0","Philadelphia Flyers Acquire:2023 4th round pick (EDM - #120 - Alex Ciernik)Sum: $0$0$0Change: -$412,500Change: -$412,500Change: $0",Edmonton Oilers ,"Derick Brassard ($412,500 retained - 50%) · $412,500$412,500$0Sum: $412,500$412,500$0Change: +$412,500Change: +$412,500Change: $0",Philadelphia Flyers ,"2023 4th round pick (EDM - #120 - Alex Ciernik)Sum: $0$0$0Change: -$412,500Change: -$412,500Change: $0"
