,DATE,TRADE DETAILS,TRADE DETAILS.18,Team_x,Sum_x,Change_x,receivedx,Team_y,Sum_y,Change_y,receivedy,CapHelpTeam,CHP_Recieved,CHP_Sum,CHP_Change
0,"Jun. 29, 2023",Columbus Blue Jackets Acquire:2023 7th round pick (VGK - #224 - Tyler Peddle)Sum: $0$0$0Change: $0Change: $0Change: $0,Vegas Golden Knights Acquire:2024 7th round pick (CBJ - #197)Sum: $0$0$0Change: $0Change: $0Change: $0,Columbus Blue Jackets ,$0.00 ,$0.00 ,2023 7th round pick (VGK - #224 - Tyler Peddle),Vegas Golden Knights ,$0.00 ,$0.00 ,2024 7th round pick (CBJ - #197),,,,
1,"Jun. 29, 2023",Nashville Predators Acquire:2023 7th round pick (NJD - #218 - Aiden Fink)Sum: $0$0$0Change: $0Change: $0Change: $0,New Jersey Devils Acquire:2024 7th round pick (NSH - #215)Sum: $0$0$0Change: $0Change: $0Change: $0,Nashville Predators ,$0.00 ,$0.00 ,2023 7th round pick (NJD - #218 - Aiden Fink),New Jersey Devils ,$0.00 ,$0.00 ,2024 7th round pick (NSH - #215),,,,
2,"Jun. 29, 2023",San Jose Sharks Acquire:2025 7th round pick (WSH)Sum: $0$0$0Change: $0Change: $0Change: $0,Washington Capitals Acquire:2023 7th round pick (PIT - #206 - Antoine Keller)Sum: $0$0$0Change: $0Change: $0Change: $0,San Jose Sharks ,$0.00 ,$0.00 ,2025 7th round pick (WSH),Washington Capitals ,$0.00 ,$0.00 ,2023 7th round pick (PIT - #206 - Antoine Keller),,,,
3,"Jun. 29, 2023",Nashville Predators Acquire:2024 4th round pick (CHI - #99)Sum: $0$0$0Change: $0Change: $0Change: $0,Tampa Bay Lightning Acquire:2023 4th round pick (TBL - #115 - Jayson Shaugabay)Sum: $0$0$0Change: $0Change: $0Change: $0,Nashville Predators ,$0.00 ,$0.00 ,2024 4th round pick (CHI - #99),Tampa Bay Lightning ,$0.00 ,$0.00 ,2023 4th round pick (TBL - #115 - Jayson Shaugabay),,,,
4,"Jun. 29, 2023",Chicago Blackhawks Acquire:Corey Perry · $0$0$0 (Signing Rights)Sum: $0$0$0Change: $0Change: $0Change: $0,Tampa Bay Lightning Acquire:2024 7th round pick (CHI - #195)Sum: $0$0$0Change: $0Change: $0Change: $0,Chicago Blackhawks ,$0.00 ,$0.00 ,Corey Perry (Signing Rights),Tampa Bay Lightning ,$0.00 ,$0.00 ,2024 7th round pick (CHI - #195),,,,
5,"Jun. 29, 2023",New York Rangers Acquire:2023 3rd round pick (NJD - #90 - Drew Fortescue)Sum: $0$0$0Change: $0Change: $0Change: $0,Pittsburgh Penguins Acquire:2023 3rd round pick (COL - #91 - Emil Pieniniemi)2024 7th round pick (NYR - #223)Sum: $0$0$0Change: $0Change: $0Change: $0,New York Rangers ,$0.00 ,$0.00 ,2023 3rd round pick (NJD - #90 - Drew Fortescue),Pittsburgh Penguins ,$0.00 ,$0.00 ,2023 3rd round pick (COL - #91 - Emil Pieniniemi)2024 7th round pick (NYR - #223),,,,
6,"Jun. 29, 2023",Dallas Stars Acquire:2023 3rd round pick (NSH - #79 - Brad Gardiner)Sum: $0$0$0Change: $0Change: $0Change: $0,Nashville Predators Acquire:2024 3rd round pick (DAL - #94)2024 6th round pick (DAL - #190)Sum: $0$0$0Change: $0Change: $0Change: $0,Dallas Stars ,$0.00 ,$0.00 ,2023 3rd round pick (NSH - #79 - Brad Gardiner),Nashville Predators ,$0.00 ,$0.00 ,2024 3rd round pick (DAL - #94)2024 6th round pick (DAL - #190),,,,
7,"Jun. 29, 2023",Carolina Hurricanes Acquire:2023 3rd round pick (CAR - #94 - Jayden Perron)2023 4th round pick (SJS - #100 - Alexander Rykov)Sum: $0$0$0Change: $0Change: $0Change: $0,San Jose Sharks Acquire:2023 3rd round pick (PHI - #71 - Brandon Svoboda)Sum: $0$0$0Change: $0Change: $0Change: $0,Carolina Hurricanes ,$0.00 ,$0.00 ,2023 3rd round pick (CAR - #94 - Jayden Perron)2023 4th round pick (SJS - #100 - Alexander Rykov),San Jose Sharks ,$0.00 ,$0.00 ,2023 3rd round pick (PHI - #71 - Brandon Svoboda),,,,
8,"Jun. 29, 2023",Chicago Blackhawks Acquire:2023 6th round pick (PHI - #167 - Milton Oscarson)2024 2nd round pick (LAK - #54)Sum: $0$0$0Change: $0Change: $0Change: $0,Philadelphia Flyers Acquire:2023 2nd round pick (TBL - #51 - Carson Bjarnason)Sum: $0$0$0Change: $0Change: $0Change: $0,Chicago Blackhawks ,$0.00 ,$0.00 ,2023 6th round pick (PHI - #167 - Milton Oscarson)2024 2nd round pick (LAK - #54),Philadelphia Flyers ,$0.00 ,$0.00 ,2023 2nd round pick (TBL - #51 - Carson Bjarnason),,,,
9,"Jun. 29, 2023","Detroit Red Wings Acquire:Kailer Yamamoto · $3,100,000$3,100,000$3,200,000Klim Kostin · $0$0$0 (Signing Rights)Sum: $3,100,000$3,100,000$3,200,000Change: +$3,100,000Change: +$3,100,000Change: +$3,200,000","Edmonton Oilers Acquire:Future ConsiderationsSum: $0$0$0Change: -$3,100,000Change: -$3,100,000Change: -$3,200,000",Detroit Red Wings ,"$3,100,000.00 ","$3,100,000.00 ",Kailer Yamamoto Klim Kostin (Signing Rights),Edmonton Oilers ,$0.00 ,"($3,100,000.00)",Future Considerations,,,,
10,"Jun. 29, 2023",Detroit Red Wings Acquire:2023 2nd round pick (NSH - #47 - Brady Cleveland)2023 5th round pick (TBL - #147 - Kevin Bicker)Sum: $0$0$0Change: $0Change: $0Change: $0,Nashville Predators Acquire:2023 2nd round pick (VAN - #43 - Felix Nilsson)Sum: $0$0$0Change: $0Change: $0Change: $0,Detroit Red Wings ,$0.00 ,$0.00 ,2023 2nd round pick (NSH - #47 - Brady Cleveland)2023 5th round pick (TBL - #147 - Kevin Bicker),Nashville Predators ,$0.00 ,$0.00 ,2023 2nd round pick (VAN - #43 - Felix Nilsson),,,,
11,"Jun. 29, 2023","Chicago Blackhawks Acquire:Josh Bailey · $5,000,000$5,000,000$3,500,0002026 2nd round pick (NYI)Sum: $5,000,000$5,000,000$3,500,000Change: +$5,000,000Change: +$5,000,000Change: +$3,500,000","New York Islanders Acquire:Future ConsiderationsSum: $0$0$0Change: -$5,000,000Change: -$5,000,000Change: -$3,500,000",Chicago Blackhawks ,"$5,000,000.00 ","$5,000,000.00 ",Josh Bailey 2026 2nd round pick (NYI),New York Islanders ,$0.00 ,"($5,000,000.00)",Future Considerations,,,,
12,"Jun. 28, 2023","Pittsburgh Penguins Acquire:Reilly Smith · $5,000,000$5,000,000$5,250,000Sum: $5,000,000$5,000,000$5,250,000Change: +$5,000,000Change: +$5,000,000Change: +$5,250,000","Vegas Golden Knights Acquire:2024 3rd round pick (VGK - #84)Sum: $0$0$0Change: -$5,000,000Change: -$5,000,000Change: -$5,250,000",Pittsburgh Penguins ,"$5,000,000.00 ","$5,000,000.00 ",Reilly Smith,Vegas Golden Knights ,$0.00 ,"($5,000,000.00)",2024 3rd round pick (VGK - #84),,,,
