,DATE,TRADE DETAILS,TRADE DETAILS.18,Team_x,x_receieved,Team_y,y_receieved,receivedx,Monetary
0,"May 24, 2024",Chicago Blackhawks Acquire:2024 1st round pick (NYI - #18)2024 2nd round pick (NYI - #50)Sum: $0$0$0Change: $0Change: $0Change: $0,New York Islanders Acquire:2024 1st round pick (TBL - #20)2024 2nd round pick (LAK - #54)2024 2nd round pick (VAN - #61)Sum: $0$0$0Change: $0Change: $0Change: $0,Chicago Blackhawks ,2024 1st round pick (NYI - #18)2024 2nd round pick (NYI - #50)Sum: $0$0$0Change: $0Change: $0Change: $0,New York Islanders ,2024 1st round pick (TBL - #20)2024 2nd round pick (LAK - #54)2024 2nd round pick (VAN - #61)Sum: $0$0$0Change: $0Change: $0Change: $0,2024 1st round pick (NYI - #18)2024 2nd round pick (NYI - #50),Sum: $0$0$0Change: $0Change: $0Change: $0
1,"May 21, 2024","Nashville Predators Acquire:2024 7th round pick (TBL - #213)2025 2nd round pick (TBL)Sum: $0$0$0Change: -$6,750,000Change: -$6,750,000Change: -$6,930,000","Tampa Bay Lightning Acquire:Ryan McDonagh · $6,750,000$6,750,000$6,930,0002024 4th round pick (EDM - #128)Sum: $6,750,000$6,750,000$6,930,000Change: +$6,750,000Change: +$6,750,000Change: +$6,930,000",Nashville Predators ,"2024 7th round pick (TBL - #213)2025 2nd round pick (TBL)Sum: $0$0$0Change: -$6,750,000Change: -$6,750,000Change: -$6,930,000",Tampa Bay Lightning ,"Ryan McDonagh · $6,750,000$6,750,000$6,930,0002024 4th round pick (EDM - #128)Sum: $6,750,000$6,750,000$6,930,000Change: +$6,750,000Change: +$6,750,000Change: +$6,930,000",2024 7th round pick (TBL - #213)2025 2nd round pick (TBL),"Sum: $0$0$0Change: -$6,750,000Change: -$6,750,000Change: -$6,930,000"
2,"Mar. 15, 2024","Ottawa Senators Acquire:Wyatt Bongiovanni · $0$802,500$70,000 (AHL/JR)Sum: $0$802,500$70,000Change: $0Change: +$802,500Change: +$70,000","Winnipeg Jets Acquire:Future ConsiderationsSum: $0$0$0Change: $0Change: -$802,500Change: -$70,000",Ottawa Senators ,"Wyatt Bongiovanni · $0$802,500$70,000 (AHL/JR)Sum: $0$802,500$70,000Change: $0Change: +$802,500Change: +$70,000",Winnipeg Jets ,"Future ConsiderationsSum: $0$0$0Change: $0Change: -$802,500Change: -$70,000",Wyatt Bongiovanni," · $0$802,500$70,000 (AHL/JR)Sum: $0$802,500$70,000Change: $0Change: +$802,500Change: +$70,000"
3,"Mar. 15, 2024","Carolina Hurricanes Acquire:2024 6th round pick (OTT - #168)Sum: $0$0$0Change: $0Change: -$839,167Change: -$70,000","Ottawa Senators Acquire:Jamieson Rees · $0$839,167$70,000 (AHL/JR)Sum: $0$839,167$70,000Change: $0Change: +$839,167Change: +$70,000",Carolina Hurricanes ,"2024 6th round pick (OTT - #168)Sum: $0$0$0Change: $0Change: -$839,167Change: -$70,000",Ottawa Senators ,"Jamieson Rees · $0$839,167$70,000 (AHL/JR)Sum: $0$839,167$70,000Change: $0Change: +$839,167Change: +$70,000",2024 6th round pick (OTT - #168),"Sum: $0$0$0Change: $0Change: -$839,167Change: -$70,000"
4,"Mar. 11, 2024","Montreal Canadiens Acquire:Arnaud Durandeau · $0$762,500$100,000 (AHL/JR)Sum: $0$762,500$100,000Change: $0Change: -$26,667Change: +$30,000","New Jersey Devils Acquire:Nathan Légaré · $0$789,167$70,000 (AHL/JR)Sum: $0$789,167$70,000Change: $0Change: +$26,667Change: -$30,000",Montreal Canadiens ,"Arnaud Durandeau · $0$762,500$100,000 (AHL/JR)Sum: $0$762,500$100,000Change: $0Change: -$26,667Change: +$30,000",New Jersey Devils ,"Nathan Légaré · $0$789,167$70,000 (AHL/JR)Sum: $0$789,167$70,000Change: $0Change: +$26,667Change: -$30,000",Arnaud Durandeau," · $0$762,500$100,000 (AHL/JR)Sum: $0$762,500$100,000Change: $0Change: -$26,667Change: +$30,000"
5,"Mar. 8, 2024","Minnesota Wild Acquire:Dmitry Ovchinnikov · $0$835,000$80,000 (AHL/JR)2026 4th round pick (TOR)Sum: $0$835,000$80,000Change: -$800,000Change: +$35,000Change: -$770,000","Toronto Maple Leafs Acquire:Connor Dewar 78  L4  · $800,000$800,000$850,000Sum: $800,000$800,000$850,000Change: +$800,000Change: -$35,000Change: +$770,000",Minnesota Wild ,"Dmitry Ovchinnikov · $0$835,000$80,000 (AHL/JR)2026 4th round pick (TOR)Sum: $0$835,000$80,000Change: -$800,000Change: +$35,000Change: -$770,000",Toronto Maple Leafs ,"Connor Dewar 78  L4  · $800,000$800,000$850,000Sum: $800,000$800,000$850,000Change: +$800,000Change: -$35,000Change: +$770,000",Dmitry Ovchinnikov," · $0$835,000$80,000 (AHL/JR)2026 4th round pick (TOR)Sum: $0$835,000$80,000Change: -$800,000Change: +$35,000Change: -$770,000"
6,"Mar. 8, 2024","New Jersey Devils Acquire:2026 4th round pick (WPG)Sum: $0$0$0Change: -$1,850,000Change: -$1,850,000Change: -$1,700,000","Winnipeg Jets Acquire:Colin Miller · $1,850,000$1,850,000$1,700,000Sum: $1,850,000$1,850,000$1,700,000Change: +$1,850,000Change: +$1,850,000Change: +$1,700,000",New Jersey Devils ,"2026 4th round pick (WPG)Sum: $0$0$0Change: -$1,850,000Change: -$1,850,000Change: -$1,700,000",Winnipeg Jets ,"Colin Miller · $1,850,000$1,850,000$1,700,000Sum: $1,850,000$1,850,000$1,700,000Change: +$1,850,000Change: +$1,850,000Change: +$1,700,000",2026 4th round pick (WPG),"Sum: $0$0$0Change: -$1,850,000Change: -$1,850,000Change: -$1,700,000"
7,"Mar. 8, 2024","San Jose Sharks Acquire:David Edstrom A-  L3  · $0$950,000$82,500 (AHL/JR)2025 1st round pick (VGK)Sum: $0$950,000$82,500Change: -$6,750,000Change: -$5,800,000Change: -$8,212,431","Vegas Golden Knights Acquire:Tomas Hertl 85  L2  ($1,387,500 retained - 17.1%) · $6,750,000$6,750,000$8,294,9312025 3rd round pick (SJS)2027 3rd round pick (SJS)Sum: $6,750,000$6,750,000$8,294,931Change: +$6,750,000Change: +$5,800,000Change: +$8,212,431",San Jose Sharks ,"David Edstrom A-  L3  · $0$950,000$82,500 (AHL/JR)2025 1st round pick (VGK)Sum: $0$950,000$82,500Change: -$6,750,000Change: -$5,800,000Change: -$8,212,431",Vegas Golden Knights ,"Tomas Hertl 85  L2  ($1,387,500 retained - 17.1%) · $6,750,000$6,750,000$8,294,9312025 3rd round pick (SJS)2027 3rd round pick (SJS)Sum: $6,750,000$6,750,000$8,294,931Change: +$6,750,000Change: +$5,800,000Change: +$8,212,431",David Edstrom A-  L3 ," · $0$950,000$82,500 (AHL/JR)2025 1st round pick (VGK)Sum: $0$950,000$82,500Change: -$6,750,000Change: -$5,800,000Change: -$8,212,431"
8,"Mar. 8, 2024","New Jersey Devils Acquire:Kaapo Kähkönen 82  1B  · $2,750,000$2,750,000$2,900,000Sum: $2,750,000$2,750,000$2,900,000Change: -$650,000Change: -$650,000Change: -$850,000","San Jose Sharks Acquire:Vitek Vanecek · $3,400,000$3,400,000$3,750,0002025 7th round pick (NJD)Sum: $3,400,000$3,400,000$3,750,000Change: +$650,000Change: +$650,000Change: +$850,000",New Jersey Devils ,"Kaapo Kähkönen 82  1B  · $2,750,000$2,750,000$2,900,000Sum: $2,750,000$2,750,000$2,900,000Change: -$650,000Change: -$650,000Change: -$850,000",San Jose Sharks ,"Vitek Vanecek · $3,400,000$3,400,000$3,750,0002025 7th round pick (NJD)Sum: $3,400,000$3,400,000$3,750,000Change: +$650,000Change: +$650,000Change: +$850,000",Kaapo Kähkönen 82  1B ," · $2,750,000$2,750,000$2,900,000Sum: $2,750,000$2,750,000$2,900,000Change: -$650,000Change: -$650,000Change: -$850,000"
9,"Mar. 8, 2024","Columbus Blue Jackets Acquire:2026 4th round pick (NYR) [Conditional]**Conditions: Upgrades to a 2026 3rd round pick if Rangers make it to the Stanley Cup Finals and Roslovic plays in 50% of the playoff games. Result: Columbus will receive the 2026 4th round pickSum: $0$0$0Change: -$2,000,000Change: -$2,000,000Change: -$2,000,000","New York Rangers Acquire:Jack Roslovic 78  L3  ($2,000,000 retained - 50%) · $2,000,000$2,000,000$2,000,000Sum: $2,000,000$2,000,000$2,000,000Change: +$2,000,000Change: +$2,000,000Change: +$2,000,000",Columbus Blue Jackets ,"2026 4th round pick (NYR) [Conditional]**Conditions: Upgrades to a 2026 3rd round pick if Rangers make it to the Stanley Cup Finals and Roslovic plays in 50% of the playoff games. Result: Columbus will receive the 2026 4th round pickSum: $0$0$0Change: -$2,000,000Change: -$2,000,000Change: -$2,000,000",New York Rangers ,"Jack Roslovic 78  L3  ($2,000,000 retained - 50%) · $2,000,000$2,000,000$2,000,000Sum: $2,000,000$2,000,000$2,000,000Change: +$2,000,000Change: +$2,000,000Change: +$2,000,000",2026 4th round pick (NYR)," [Conditional]**Conditions: Upgrades to a 2026 3rd round pick if Rangers make it to the Stanley Cup Finals and Roslovic plays in 50% of the playoff games. Result: Columbus will receive the 2026 4th round pickSum: $0$0$0Change: -$2,000,000Change: -$2,000,000Change: -$2,000,000"
